GEO,PARTNER,"PROPERTY 
CODE","PROPERTY
INFO / NOTES",VENDOR CODE,NAME,AREA,ADDRESS,ORDER #,BIKE BILLING,# OF BIKES,BIKE TYPE,"LOCK 
CODE",STORAGE LOCATION,BIKE START DATE,BIKE END DATE
7,Vacation Mexico Beach,Paradise Shores Luxury,Paradise Shores 111,,Paradise Shores Luxury #111,Z2-Mexico Beach,800 Hwy 98 #111,55286,Monthly,2,Generic New Wave,0111,"Place bikes around the back side of the building, in P1 (Parking Level 1)",5/1/2023,4/30/2024
8,Clements Family Vacation Rentals,Summerhouse 201,,,Summerhouse 201,Z2-Mexico Beach,2202 Hwy 98 #201,55287,Monthly,2,Generic New Wave,0201,"Place in bike rack, in covered parking underneath the building.",5/1/2023,4/30/2024
9,Clements Family Vacation Rentals,Summerhouse 403,,  ,Summerhouse 403,Z2-Mexico Beach,2202 Hwy 98 #403,55288,Monthly,2,Generic New Wave,0403,"Place in bike rack, in covered parking underneath the building.",5/1/2023,4/30/2024
10,Vacation Mexico Beach,Best Day,,,Best Day #405,Z2-Mexico Beach,2202 Hwy 98 #405,55289,Monthly,2,Generic New Wave,0405,"Place in bike rack, in covered parking underneath the building.",5/1/2023,4/30/2024
13,Vacation Mexico Beach,Two Sisters,Waterside Village 200,,Two Sisters #200,Z2-Mexico Beach,3300 Hwy 98 #200,55294,Monthly,2,Generic New Wave,0200,"Place bikes in the central bike parking area, in the middle, between the two wings of the building. ",5/1/2023,4/30/2024
14,Vacation Mexico Beach,Dream Catcher,Waterside Village 202,,Dream Catcher #202,Z2-Mexico Beach,3300 Hwy 98 #202,55296,Monthly,2,Generic New Wave,0202,"Place bikes in the central bike parking area, in the middle, between the two wings of the building. ",5/1/2023,4/30/2024
16,Vacation Mexico Beach,Sea View,Waterside Village 401,,Sea View #401,Z2-Mexico Beach,3300 Hwy 98 #401,55297,Monthly,2,Generic New Wave,0401,"Place bikes in the central bike parking area, in the middle, between the two wings of the building. ",5/1/2023,4/30/2024
17,Paradise Properties,Bid-A-Wee Beach Bungalow,,,Bid-A-Wee Beach Bungalow,Y-PCB,500 Tarpon Street,58537,Monthly,4,Generic New Wave,5000,,6/4/2023,
18,"360 Blue, LLC",PC14310,,40 * 437174,Front Beach Echo,Y-PCB,14310 Front Beach Road,21933,Monthly,6,Blue Tire 360 YOLO,4310,,12/16/2021,2/21/2022
19,"360 Blue, LLC",PC16525,,40 * 437174,Front Beach Charlie,Y-PCB,16525 Front Beach Road,N/A,Monthly,3,Blue Tire 360 YOLO,6525,,7/11/2020,2/26/2021
20,Exclusive,PCB19214,,,The Sundowner,Y-PCB,19214 Front Beach Road,6021,Monthly,4,Exclusive TAXI,9214,,3/1/2020,
21,"360 Blue, LLC",PC19985,"Garage Code: 6300
Old name: Front Beach Delta",40 * 437174,La Vida Loca,Y-PCB,19985 Front Beach Road,48305,Monthly,5,Blue Tire 360 YOLO,9985,In garage.,12/1/2022,
22,"360 Blue, LLC",PC22343,"ALAYA
Old name: Front Beach Beta",40 * 437174,Emerald Coast Sunset,Y-PCB,22343 Front Beach Road,964,Monthly,6,ALAYA Blue Tire 360 YOLO,2343,"On bike rack, under covered carport.",7/9/2019,
24,"360 Blue, LLC",PC20508,Old name: Front Beach Cedar,40 * 437174,Livin' it Lovin' it,Y-PCB,20508 Front Beach Road,37029,Monthly,3,Blue Tire 360 YOLO,2050,"When facing the home, bikes should be to the right side of the driveway.",5/17/2022,
25,Royal,SUNRISE,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Sunrise,Y-PCB,20405 Front Beach Road,N/A,Monthly,8,Generic TAXI,0405,,12/19/2019,1/11/2021
26,"360 Blue, LLC",PC21823,,40 * 437174,Front Beach Delta,Y-PCB,21823 Front Beach Road,N/A,Monthly,3,Blue Tire 360 YOLO,1823,,10/31/2021,1/16/2022
27,"360 Blue, LLC",PC21825,,40 * 437174,Front Beach Charlie,Y-PCB,21825 Front Beach Road,N/A,Monthly,3,Blue Tire 360 YOLO,1825,,10/31/2021,1/16/2022
28,"360 Blue, LLC",PC22339,"ALAYA
Old name: Front Beach Alpha",40 * 437174,Emerald Coast Sunrise,Y-PCB,22339 Front Beach Road,963,Monthly,6,ALAYA Blue Tire 360 YOLO,2339,Under carport.,7/28/2019,
30,Scenic Stays 30A LLC,23913TH,,,Casa Indigo,Y-PCB,239 13th Street,48492,Monthly,3,Generic TAXI,0239,,10/19/2022,
31,"Oversee Rentals, LLC",2AJMB1,,,322 Sundial,Y-PCB,322 Sundial Street,1703,Monthly,2,Oversee YOLO,0322,,7/5/2020,4/5/2022
32,"Oversee Rentals, LLC",2OJAC1,,,Ola Mar Dream,Y-PCB,158 Southfields Road,50715,Monthly,4,Oversee YOLO,0158,,2/27/2023,6/25/2023
33,"Oversee Rentals, LLC",2AFNT3,,,Southfields,Y-PCB,202 Southfields Road #A,28820,Monthly,4,Oversee YOLO,0202,,12/26/2021,3/8/2022
34,"Oversee Rentals, LLC",2AFNT3,,,Southfields,Y-PCB,202 Southfields Road #A,N/A,Monthly,4,Oversee YOLO,0202,,6/30/2020,12/7/2021
35,"Oversee Rentals, LLC",2CMCT1,,,Point Three,Y-PCB,22609 Hilltop Avenue,52866,Monthly,2,Oversee YOLO,2609,,3/24/2023,6/25/2023
36,"360 Blue, LLC",CB113CC,Old name: Cottage Court Alpha,40 * 437174,Just Flew Inn,X-Carillon,113 Cottage Court,29538,Monthly,4,Blue Tire 360 YOLO,0113,,1/28/2022,9/11/2023
53,XPLORIE,Carillon Beach House - Sunny Daze,Beach Service paid by VRBO - Demetrios Constantinides,"House: 23 * 770179
Garage: 1288",Sunny Daze,X-Carillon,140 Parkshore Drive,49922,Monthly,4,2022 Vacayzen TAXI,0140,"In the driveway, to the right of the house.",6/27/2023,
142,"Oversee Rentals, LLC",2OGSB1,,,Bimini,X-Carillon,206 Carillon Avenue,1695,Monthly,2,Oversee YOLO,0206,,7/5/2020,6/25/2023
204,Royal,CWHITE,"VRBO - Tinker, Paid on #49766 for Beach Service.","Kaba: 84 * 919957 
Lockbox: 1534 or 3841",The White House,X-Carillon,376 Beachside Drive,2025,Monthly,4,Royal TAXI,0376,,9/11/2020,
242,"360 Blue, LLC",CB402LD,"VRBO - Michael Lanier, Paid on #50093 for Beach Service.
Old name: Lakefront Alpha Main and Carriage",40 * 437174,Three Little Birds,X-Carillon,402 Lakefront Drive,30092,Monthly,0,Blue Tire 360 YOLO,0402,,3/5/2022,
243,"360 Blue, LLC",CB402LDM,"VRBO - Michael Lanier, Paid on #50093 for Beach Service.
Old name: Lakefront Alpha Main",40 * 437174,Three Little Birds Main,X-Carillon,402 Lakefront Drive,30094,Monthly,4,Blue Tire 360 YOLO,0402,,3/5/2022,
244,"360 Blue, LLC",CB402LDC,"VRBO - Michael Lanier, Paid on #50093 for Beach Service.
Old name: Lakefront Alpha Carriage",40 * 437174,Three Little Birds Carriage,X-Carillon,402 Lakefront Drive,30095,Monthly,2,Blue Tire 360 YOLO,0402,,3/5/2022,
265,Scenic Stays 30A LLC,520BG,Beach Service paid by VRBO - Andrew & Dana Adams,,Lotty Da,X-Carillon,520 Beachside Gardens,45413,Monthly,5,2022 Vacayzen TAXI,0520,,8/8/2022,
266,Scenic Stays 30A LLC,521BG,Beach Service paid by VRBO - Andrew & Dana Adams,,Beachscapes,X-Carillon,521 Beachside Gardens,45414,Monthly,5,2022 Vacayzen TAXI,0521,,8/8/2022,
271,Royal,SAND,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Sandcastle Dreams,X-Carillon,418 Lakefront Drive,2061,Monthly,4,Royal TAXI,0418,,6/10/2020,
272,"Oversee Rentals, LLC",2CAID1,Carillon Beach Inn 415,,Le Soleil,X-Carillon,116 Carillon Market Street #302,N/A,Monthly,3,Oversee YOLO,0302,,10/31/2018,12/7/2021
273,The Pointe on 30A,TP111,The Pointe 111,,The Pointe #111,W-Inlet,10711 E County Hwy 30A,54369,Monthly,2,Pointe HB,7111,TP Hut.,4/11/2023,4/1/2024
274,The Pointe on 30A,TP112,The Pointe 112,,The Pointe #112,W-Inlet,10711 E County Hwy 30A,54370,Monthly,2,Pointe HB,2112,TP Hut.,4/11/2023,4/1/2024
275,The Pointe on 30A,TP113,The Pointe 113,,The Pointe #113,W-Inlet,10711 E County Hwy 30A,54371,Monthly,2,Pointe HB,3113,TP Hut.,4/11/2023,4/1/2024
276,The Pointe on 30A,TP121,The Pointe 121,,The Pointe #121,W-Inlet,10711 E County Hwy 30A,54372,Monthly,2,Pointe HB,1121,TP Hut.,4/11/2023,4/1/2024
277,The Pointe on 30A,TP122,The Pointe 122,,The Pointe #122,W-Inlet,10711 E County Hwy 30A,54373,Monthly,2,Pointe HB,2122,TP Hut.,4/11/2023,4/1/2024
278,Pinkie Flamingo,TP123,"The Pointe 123
Paid by VRBO - Damian Dobric",,The Pointe #123,W-Inlet,10711 E County Hwy 30A,50799,Paid,2,Pointe HB,0123,TP Hut.,2/28/2023,12/31/2023
279,VRBO - Damian Dobric,TP123,The Pointe 123,,The Pointe #123,W-Inlet,10711 E County Hwy 30A,47193,Paid,2,Pointe HB,0123,TP Hut.,9/22/2022,12/31/2022
280,Warren Beach Rentals,TP124,"The Pointe 124
Paid by VRBO - Damian Dobric",,The Pointe #124,W-Inlet,10711 E County Hwy 30A,50802,Paid,2,Pointe HB,0124,TP Hut.,2/28/2023,12/31/2023
281,VRBO - Damian Dobric,TP124,The Pointe 124,,The Pointe #124,W-Inlet,10711 E County Hwy 30A,47199,Paid,2,Pointe HB,0124,TP Hut.,9/22/2022,12/31/2022
282,The Pointe on 30A,TP125,The Pointe 125,,The Pointe #125,W-Inlet,10711 E County Hwy 30A,64016,Monthly,2,Pointe HB,5125,TP Hut.,4/11/2023,4/1/2024
283,Pampered Palm,TP131,The Pointe 131,,The Pointe #131,W-Inlet,10711 E County Hwy 30A,51697,Paid,2,Pointe HB,0131,TP Hut.,3/9/2023,6/8/2023
284,Pampered Palm,TP131,The Pointe 131,,The Pointe #131,W-Inlet,10711 E County Hwy 30A,31593,Paid,2,Pointe HB,0131,TP Hut.,3/8/2022,12/31/2022
285,The Pointe on 30A,TP132,The Pointe 132,,The Pointe #132,W-Inlet,10711 E County Hwy 30A,54447,Monthly,2,Pointe HB,2132,TP Hut.,4/11/2023,4/1/2024
287,The Pointe on 30A,TP141,The Pointe 141,,The Pointe #141,W-Inlet,10711 E County Hwy 30A,54379,Monthly,2,Pointe HB,1141,TP Hut.,4/11/2023,4/1/2024
288,VRBO - Valerie Eriksen,TP142,The Pointe 142,,The Pointe #142,W-Inlet,10711 E County Hwy 30A,61235,Paid,2,Pointe HB,0142,TP Hut.,6/29/2023,12/31/2023
